YEAR,COUNTY_DISTRICT_CODE,GRADUATES_PREVIOUS_YEAR,GRADUATE_FOLLOWUP_COLLEGE,GRADUATE_FOLLOWUP_COLLEGE_PCT,GRADUATE_FOLLOWUP_4YR,GRADUATE_FOLLOWUP_4YR_PCT,GRADUATE_FOLLOWUP_2YR,GRADUATE_FOLLOWUP_2YR_PCT,GRADUATE_FOLLOWUP_EMPLOYED,GRADUATE_FOLLOWUP_EMPLOYED_PCT,GRADUATE_FOLLOWUP_MILITARY,GRADUATE_FOLLOWUP_MILITARY_PCT,GRADUATE_FOLLOWUP_NON_COLLEGE,GRADUATE_FOLLOWUP_NON_COLLEGE_PCT,GRADUATE_FOLLOWUP_OTHER,GRADUATE_FOLLOWUP_OTHER_PCT,GRADUATE_FOLLOWUP_UNKNOWN,GRADUATE_FOLLOWUP_UNKNOWN_PCT
2023,96101,56,41,73.2,32,57.1,9,16.1,11,19.6,0,0,0,0,0,0,0,0
2023,96102,215,201,93.5,183,85.1,18,8.4,0,0,0,0,0,0,10,4.7,0,0
2023,96103,82,37,45.1,20,24.4,17,20.7,32,39,0,0,0,0,0,0,9,11
2023,96104,158,57,36.1,37,23.4,20,12.7,85,53.8,6,3.8,0,0,8,5.1,0,0
2023,96106,348,323,92.8,286,82.2,37,10.6,0,0,0,0,0,0,13,3.7,6,1.7
2023,96107,103,74,71.8,44,42.7,30,29.1,14,13.6,0,0,0,0,9,8.7,0,0
2023,96109,143,45,31.5,31,21.7,14,9.8,68,47.6,0,0,0,0,11,7.7,22,15.4
2023,96110,355,129,36.3,75,21.1,54,15.2,108,30.4,9,2.5,23,6.5,0,0,82,23.1
2023,96111,203,48,23.6,23,11.3,25,12.3,132,65,0,0,5,2.5,0,0,13,6.4
2023,96112,149,88,59.1,62,41.6,26,17.4,49,32.9,0,0,5,3.4,0,0,7,4.7
2023,96113,68,41,60.3,25,36.8,16,23.5,11,16.2,0,0,0,0,5,7.4,7,10.3
2023,96114,387,309,79.8,263,68,46,11.9,19,4.9,0,0,15,3.9,23,5.9,20,5.2
2023,96119,149,45,30.2,21,14.1,24,16.1,29,19.5,0,0,0,0,47,31.5,24,16.1
2023,115115,1110,555,50,372,33.5,183,16.5,417,37.6,17,1.5,14,1.3,29,2.6,78,7
2023,115906,178,67,37.6,41,23,26,14.6,108,60.7,0,0,0,0,0,0,0,0
2023,115914,76,52,68.4,40,52.6,12,15.8,16,21.1,0,0,0,0,0,0,5,6.6
